,symbol,SIDM00826__mutations,SIDM00136__mutations,SIDM00787__mutations,SIDM00841__mutations,SIDM00826__cnv,SIDM00136__cnv,SIDM00787__cnv,SIDM00841__cnv,SIDM00826__TF,SIDM00136__TF,SIDM00787__TF,SIDM00841__TF,SIDM00826__expression,SIDM00136__expression,SIDM00787__expression,SIDM00841__expression
AKT1,['AKT1'],,,,,,,,,,,,,,0.21083812331210805,0.0,1.0
CCND1,['CCND1'],,,,,,,,,,,,,,0.0,1.0,0.5565839884075319
CyclinB_CDK1,"['CCNB1', 'CDK1']",,,,,,,,,,,,,,0.0,0.6572910828259109,0.9898893279106031
CyclinD_CDK4_6,"['CCND1', 'CDK4', 'CDK6']",,,,,,,,,,,,,,0.20808255373892393,0.5949444438342398,0.8521946628025105
ERK_f,"['MAPK1', 'MAPK3']",,,,,,,,,,,,,,0.0,0.6926343742839863,0.5399582528288203
FOXO3,['FOXO3'],,,,,,,,,,,,,,1.0,0.0,0.3803907767958808
GSK3B,['GSK3B'],,,,,,,,,,,,,,0.9957096926285731,1.0,0.0
IRS2,['IRS2'],,,,,1.0,,,,,,,,,0.6775958203020817,0.0,1.0
JUN,['JUN'],,,,,,,,,1.0,1.0,,1.0,,1.0,0.0,0.9357195918185224
LRP5,['LRP5'],,,,,,,,,,,,,,0.8107788481131095,0.0,1.0
MAP2K4,['MAP2K4'],,,,,,,,0.0,,,,,,0.0,1.0,0.4505355472207671
MAP3K1,['MAP3K1'],,,,,,,,,,,,,,1.0,0.3997425210621647,0.0
MAPK8,['MAPK8'],,,,,,,,,,,,,,1.0,0.0,0.8121410078485939
MEK_f,"['MAP2K1', 'MAP2K2']",,,,,,,,,,,,,,0.6073351388294381,0.5248744301665897,0.0
MYC,['MYC'],,,,,,1.0,,,1.0,1.0,,1.0,,0.19977134769444205,0.0,1.0
PIK3CA,['PIK3CA'],,,1.0,,,,,,,,,,,1.0,0.0,0.6232363767916353
Proliferation,['Proliferation'],,,,,,,,,,,,,,,,
STAT3,['STAT3'],,,,,,,,,1.0,,,,,0.8639246560075191,1.0,0.0
mTOR_c1,"['AKT1S1', 'DEPTOR', 'MLST8', 'RPTOR', 'MTOR']",,,,,,1.0,,,,,,,,0.7788258322180701,0.09797802264705884,0.5715226594944928
mTOR_c2,"['EEF1A1', 'DEPTOR', 'MLST8', 'PRR5', 'RICTOR', 'MTOR']",,,,,,1.0,,,,,,,,0.6124641144589625,0.33909411922961885,0.6056911161542172
